code;title;category;compensation_percent;limit_amount;description;links;application_period;notes
EXP_CERT_IND;Сертификация промышленной продукции на внешних рынках;Экспорт;80;300000000;"Компенсация до 80% фактически понесённых затрат на сертификацию промышленной продукции";"https://www.exportcenter.ru/services/spetsialnye-programmy-po-podderzhke-eksporta/industry/gospodderzhka-sertifikatsiya/;https://gisp.gov.ru/nmp/measure/12447430";;Конкурс 2025 не объявлен
EXP_CERT_AGRO;Сертификация продукции АПК;Экспорт;90;;"Компенсация до 90% расходов на сертификацию АПК";"https://www.exportcenter.ru/services/spetsialnye-programmy-po-podderzhke-eksporta/agro-industrial-complex/gospodderzhka-sertifikatsiya-produktsii-apk/";;Конкурс 2025 не объявлен
EXP_EXHIBITIONS;Выставки и бизнес-миссии;Экспорт;;; "Компенсация участия в международных выставках и бизнес-миссиях";"https://www.exportcenter.ru/services/prodvizhenie-na-vneshnie-rynki/exhibitions-business-missions/gospodderzhka-vystavki-i-biznes-missii-rets/";;Действующая мера
EXP_FOREIGN_FAIRS;Зарубежные выставки и ярмарки;Экспорт;;2000000;"Компенсация расходов на участие в зарубежных выставках: 700000 МСП, 2000000 крупный бизнес";"https://www.exportcenter.ru/services/spetsialnye-programmy-po-podderzhke-eksporta/exhibitions-and-business-missions/gospodderzhka-zarubezhnye-vystavki-i-yarmarki/";;До 5 мероприятий в год
EXP_TRANSPORT_INDUSTRY;Компенсация транспортных затрат (промышленные товары);Экспорт;60;200000000;"Компенсация части затрат на транспортировку промышленной продукции";"https://www.exportcenter.ru/services/spetsialnye-programmy-po-podderzhke-eksporta/transportation/gospodderzhka_transportirovka_promyshlennykh_tovarov_pp_rf/";13.06.25–20.08.25;
EXP_TRANSPORT_AGRO;Компенсация транспортных затрат АПК;Экспорт;100;;"Компенсация расходов на транспортировку продукции АПК";"https://www.exportcenter.ru/services/spetsialnye-programmy-po-podderzhke-eksporta/agro-industrial-complex/gospodderzhka-transportirovka-tovarov-apk/";27.02.25–15.08.25;
EXP_RND;Компенсация затрат на НИОКР и омологацию;Экспорт;50;900000000;"Компенсация НИОКР и омологации";"https://www.exportcenter.ru/services/spetsialnye-programmy-po-podderzhke-eksporta/industry/gospodderzhka-niokr-i-omologatsiya/";;Конкурс не объявлен
EXP_MTK;Перевозка по приоритетным МТК;Экспорт;50;;"Субсидируемая скидка на перевозки: 230000 руб (20 фут), 330000 руб (40 фут)";"https://www.exportcenter.ru/services/spetsialnye-programmy-po-podderzhke-eksporta/transportation/gospodderzhka-perevozka-po-prioritetnym-mtk/";28.02.25–24.03.25;
EXP_AFTERSALES;Система послепродажного обслуживания за рубежом;Экспорт;80;;"Компенсация затрат на создание сервисных центров за рубежом";"https://www.exportcenter.ru/services/spetsialnye-programmy-po-podderzhke-eksporta/industry/gospodderzhka-posleprodazhnoe-obsluzhivanie/";;Конкурс не объявлен

